input_id,input_name,input_path,input_full_path,match_id,match_name,match_path,match_full_path,confidence,reasoning,method
1537,Попереджувальні балки для спеціальних транспортних засобів,,Освітлення | LED лампи > Попереджувальні балки для спеціальних транспортних засобів,40304,Робоче освітлення,,Автоаксесуари 4x4 > Освітлення > Робоче освітлення,0.7,Часткове семантичне співпадіння з робочим освітленням,semantic
1542,Налобні ліхтарі,,Освітлення | LED лампи > Налобні ліхтарі,50402,Налобні ліхтарі,,Кемпінг та туризм > Освітлення > Налобні ліхтарі,1.0,Точне співпадіння категорії налобних ліхтарів,exact
1547,Освітлення для кемпінгу / табору,,Освітлення | LED лампи > Освітлення для кемпінгу / табору,50403,Кемпінгові лампи,,Кемпінг та туризм > Освітлення > Кемпінгові лампи,0.8,Семантичне співпадіння з кемпінговими лампами,semantic
1531,Світлодіодні фари та основні лампи,,Освітлення | LED лампи > Світлодіодні фари та основні лампи,40301,LED фари та люстри,,Автоаксесуари 4x4 > Освітлення > LED фари та люстри,0.9,Точне семантичне співпадіння світлодіодних фар,semantic
1548,Задні ліхтарі,,Освітлення | LED лампи > Задні ліхтарі,40301,LED фари та люстри,,Автоаксесуари 4x4 > Освітлення > LED фари та люстри,0.8,Часткове семантичне співпадіння освітлення,semantic
1534,Кріплення для освітлення,,Освітлення | LED лампи > Кріплення для освітлення,40305,Кріплення для світла,,Автоаксесуари 4x4 > Освітлення > Кріплення для світла,1.0,Точне співпадіння категорії кріплень для освітлення,exact
1535,Автомобільні лампочки,,Освітлення | LED лампи > Автомобільні лампочки,40301,LED фари та люстри,,Автоаксесуари 4x4 > Освітлення > LED фари та люстри,0.9,Семантичне співпадіння автомобільного освітлення,semantic
1728,Набори світлодіодних ламп для автомобілів,,Освітлення | LED лампи > Набори світлодіодних ламп для автомобілів,40301,LED фари та люстри,,Автоаксесуари 4x4 > Освітлення > LED фари та люстри,0.9,Точне семантичне співпадіння світлодіодних ламп,semantic
1541,лінійка деревина,,Освітлення | LED лампи > лінійка деревина,Не найдено,Не найдено,,Не найдено,0.2,"Специфічна категорія LED ламп, не знайдено точного збігу в наданій структурі",unmatched
1536,Покажчики повороту і підсвітка панелі приладів,,Освітлення | LED лампи > Покажчики повороту і підсвітка панелі приладів,Не найдено,Не найдено,,Не найдено,0.3,"Специфічна автомобільна електроніка, немає точної категорії",unmatched
1532,Світлодіодні лампи - малі і вбудовані,,Освітлення | LED лампи > Світлодіодні лампи - малі і вбудовані,Не найдено,Не найдено,,Не найдено,0.2,Занадто специфічна категорія LED ламп,unmatched
1530,Світлодіодні лампи - Круглі,,Освітлення | LED лампи > Світлодіодні лампи - Круглі,Не найдено,Не найдено,,Не найдено,0.2,Занадто специфічна категорія LED ламп,unmatched
1540,Лампи для майстерень,,Освітлення | LED лампи > Лампи для майстерень,Не найдено,Не найдено,,Не найдено,0.2,Специфічна категорія LED ламп для майстерень,unmatched
1538,Освітлення інтер'єру,,Освітлення | LED лампи > Освітлення інтер'єру,Не найдено,Не найдено,,Не найдено,0.2,Специфічна категорія інтер'єрного освітлення,unmatched
1529,Світлодіодні панелі світильник-лінійка,,Освітлення | LED лампи > Світлодіодні панелі світильник-лінійка,Не найдено,Не найдено,,Не найдено,0.2,Специфічна категорія LED панелей,unmatched
1539,Звукові сигнали,,Освітлення | LED лампи > Звукові сигнали,Не знайдено,Не найдено,,Не найдено,0.3,Немає відповідної категорії для звукових сигналів,unmatched
1533,Вмикачі кабелі реле аксесуари,,Освітлення | LED лампи > Вмикачі кабелі реле аксесуари,Не знайдено,Не найдено,,Не найдено,0.4,Немає спеціалізованої категорії для електричних аксесуарів,unmatched
