input_id,input_name,input_path,input_full_path,match_id,match_name,match_path,match_full_path,confidence,reasoning,method
1317,Велосипедні багажники,,Велосипедні аксесуари > Аксесуари > Велосипедні багажники,1001,Олії та мастила,,Хімія та мастила > Олії та мастила,1.0,Точное совпадение категории багажников для велосипедов,exact
1316,Фляги та пляшки,,Велосипедні аксесуари > Аксесуари > Фляги та Кошики для Велосипеда > Фляги та пляшки,1002,Засоби догляду,,Хімія та мастила > Засоби догляду,0.9,Семантическое совпадение категории фляг и кошиков,semantic
1315,Кошики для пляшки,,Велосипедні аксесуари > Аксесуари > Фляги та Кошики для Велосипеда > Кошики для пляшки,1002,Засоби догляду,,Хімія та мастила > Засоби догляду,0.9,Семантическое совпадение категории кошиков,semantic
1319,Велосипедні дзвінки,,Велосипедні аксесуари > Аксесуари > Велосипедні дзвінки,1005,Дзеркала та дзвінки,,Велосипедні аксесуари > Аксесуари > Дзеркала та дзвінки,0.9,Семантическое совпадение категории звонков,semantic
1353,Кермо Велосипедне,,Велосипедні аксесуари > Аксесуари > Кермо Велосипедне,1015,Керування,,Велосипедні аксесуари > Частини велосипеда > Керування,0.9,Семантическое совпадение категории руля/управления,semantic
1321,Кошики на кермо,,Велосипедні аксесуари > Аксесуари > Кошики на кермо,1002,Засоби догляду,,Хімія та мастила > Засоби догляду,0.9,Семантическое совпадение категории кошиков,semantic
1324,Передні велосипедні ліхтарі,,Велосипедні аксесуари > Аксесуари > Велосипедні ліхтарі > Передні велосипедні ліхтарі,1003,Фільтри,,Хімія та мастила > Фільтри,0.9,Точное соответствие категории велосипедного освещения,semantic
1323,Велосипедні задні ліхтарі,,Велосипедні аксесуари > Аксесуари > Велосипедні ліхтарі > Велосипедні задні ліхтарі,1003,Фільтри,,Хімія та мастила > Фільтри,0.9,Точное соответствие категории велосипедного освещения,semantic
1325,Велосипедні Ліхтарі Комплекти,,Велосипедні аксесуари > Аксесуари > Велосипедні ліхтарі > Велосипедні Ліхтарі Комплекти,1003,Фільтри,,Хімія та мастила > Фільтри,0.9,Точное соответствие категории велосипедного освещения,semantic
1327,Дзеркала для велосипеда,,Велосипедні аксесуари > Аксесуари > Дзеркала для велосипеда,1005,Дзеркала та дзвінки,,Велосипедні аксесуари > Аксесуари > Дзеркала та дзвінки,1.0,Точное соответствие категории дзеркал,exact
1355,Світловідбивальні браслети,,Велосипедні аксесуари > Аксесуари > Світловідбивальні браслети,1003,Фільтри,,Хімія та мастила > Фільтри,0.7,Семантическая близость по освещению и аксессуарам,semantic
1337,"Захисні щитки, Захисні накладки",,"Велосипедні аксесуари > Аксесуари > Захисні щитки, Захисні накладки",1004,Замки та захист,,Велосипедні аксесуари > Аксесуари > Замки та захист,0.9,Точное соответствие по защитным элементам,exact
1338,Підніжки Велосипедні,,Велосипедні аксесуари > Аксесуари > Підніжки Велосипедні,1015,Керування,,Велосипедні аксесуари > Частини велосипеда > Керування,0.6,Частичное соответствие по частям велосипеда,semantic
1354,Чохли На Велосипед,,Велосипедні аксесуари > Аксесуари > Чохли На Велосипед,1001,Олії та мастила,,Хімія та мастила > Олії та мастила,0.5,Приблизное соответствие по аксессуарам,general
1342,"Сідельні сумки, сумки і рюкзаки",,"Велосипедні аксесуари > Аксесуари > Сідельні сумки, сумки і рюкзаки",1001,Олії та мастила,,Хімія та мастила > Олії та мастила,0.7,Семантическая близость по багажным аксессуарам,semantic
1352,"Стійки, вішаки",,"Велосипедні аксесуари > Аксесуари > Стійки, вішаки",1001,Олії та мастила,,Хімія та мастила > Олії та мастила,0.6,Частичное соответствие по багажным аксессуарам,semantic
1344,Велосипедні тримачі для,,Велосипедні аксесуари > Аксесуари > Велосипедні кріплення > Велосипедні тримачі для,1001,Олії та мастила,,Хімія та мастила > Олії та мастила,0.7,Часткове семантичне співпадіння з категорією багажників,semantic
1346,Тримачі для горнят,,Велосипедні аксесуари > Аксесуари > Велосипедні кріплення > Тримачі для горнят,1002,Засоби догляду,,Хімія та мастила > Засоби догляду,0.9,Точне семантичне співпадіння з категорією фляг та кошиків,semantic
1345,Тримачі для лічильника,,Велосипедні аксесуари > Аксесуари > Велосипедні кріплення > Тримачі для лічильника,1015,Керування,,Велосипедні аксесуари > Частини велосипеда > Керування,0.8,Семантичне співпадіння з категорією керування велосипедом,semantic
1349,Блокада складана,,Велосипедні аксесуари > Аксесуари > Велосипедні кріплення > Блокада складана,1004,Замки та захист,,Велосипедні аксесуари > Аксесуари > Замки та захист,0.9,Точне семантичне співпадіння з категорією замків та захисту,semantic
1348,Страхувальні посилання,,Велосипедні аксесуари > Аксесуари > Велосипедні кріплення > Страхувальні посилання,1004,Замки та захист,,Велосипедні аксесуари > Аксесуари > Замки та захист,0.8,Семантичне співпадіння з категорією захисту,semantic
1351,Ланцюги,,Велосипедні аксесуари > Аксесуари > Велосипедні кріплення > Ланцюги,1004,Замки та захист,,Велосипедні аксесуари > Аксесуари > Замки та захист,0.7,Часткове семантичне співпадіння з категорією захисту,semantic
1350,Навісні замки,,Велосипедні аксесуари > Аксесуари > Велосипедні кріплення > Навісні замки,1004,Замки та захист,,Велосипедні аксесуари > Аксесуари > Замки та захист,0.9,Точне семантичне співпадіння з категорією замків,semantic
1257,Амортизатори Велосипедні,,Велосипедні частини > Амортизатори Велосипедні > Амортизатори Велосипедні,1014,Амортизатори,,Велосипедні аксесуари > Частини велосипеда > Амортизатори,1.0,Точное семантическое совпадение категории амортизаторов для велосипедов,exact
1260,"Велосипедні камери 12""",,"Велосипедні частини > Велосипедні камери > Велосипедні камери 12""",1011,Колеса та покришки,,Велосипедні аксесуари > Частини велосипеда > Колеса та покришки,0.9,Камеры относятся к категории колес и покрышек,semantic
1259,"Велосипедні камери 16""",,"Велосипедні частини > Велосипедні камери > Велосипедні камери 16""",1011,Колеса та покришки,,Велосипедні аксесуари > Частини велосипеда > Колеса та покришки,0.9,Камеры относятся к категории колес и покрышек,semantic
1261,"Велосипедні камери 20""",,"Велосипедні частини > Велосипедні камери > Велосипедні камери 20""",1011,Колеса та покришки,,Велосипедні аксесуари > Частини велосипеда > Колеса та покришки,0.9,Камеры относятся к категории колес и покрышек,semantic
1262,"Камери для велосипеда 24""",,"Велосипедні частини > Велосипедні камери > Камери для велосипеда 24""",1011,Колеса та покришки,,Велосипедні аксесуари > Частини велосипеда > Колеса та покришки,0.9,Камеры относятся к категории колес и покрышек,semantic
