input_id,input_name,input_path,input_full_path,match_id,match_name,match_path,match_full_path,confidence,reasoning,method
2269,Накладки на зап’ястя і щиколотки,2155>2257>2269,Захист > Накладки на зап’ястя і щиколотки,Захист > Захист зап'ясть,Захист зап'ясть,Екіпірування та одяг > Захист > Захист зап'ясть,Екіпірування та одяг > Захист > Захист зап'ясть,0.9,Смислове співпадіння за типом захисту,semantic
2268,Захист спини,2155>2257>2268,Захист > Захист спини,Захист > Захист спини,Захист спини,Екіпірування та одяг > Захист > Захист спини,Екіпірування та одяг > Захист > Захист спини,1.0,Точне співпадіння,exact
2267,Захисники грудної клітки,2155>2257>2267,Захист > Захисники грудної клітки,Захист > Захист грудної клітки,Захист грудної клітки,Екіпірування та одяг > Захист > Захист грудної клітки,Екіпірування та одяг > Захист > Захист грудної клітки,1.0,Точне співпадіння,exact
2266,Слайдери,2155>2257>2266,Захист > Слайдери,Захист > Слайдери,Слайдери,Екіпірування та одяг > Захист > Слайдери,Екіпірування та одяг > Захист > Слайдери,1.0,Точне співпадіння,exact
2265,Стабілізатори шиї,2155>2257>2265,Захист > Стабілізатори шиї,Захист > Стабілізатори шиї,Стабілізатори шиї,Екіпірування та одяг > Захист > Стабілізатори шиї,Екіпірування та одяг > Захист > Стабілізатори шиї,1.0,Точне співпадіння,exact
2264,Змінні протектори,2155>2257>2264,Захист > Змінні протектори,Захист > Змінні протектори,Змінні протектори,Екіпірування та одяг > Захист > Змінні протектори,Екіпірування та одяг > Захист > Змінні протектори,1.0,Точне співпадіння,exact
2263,Протектори плечей,2155>2257>2263,Захист > Протектори плечей,Захист > Захист плечей,Захист плечей,Екіпірування та одяг > Захист > Захист плечей,Екіпірування та одяг > Захист > Захист плечей,1.0,Точне співпадіння,exact
2262,Накладки на лікті,2155>2257>2262,Захист > Накладки на лікті,Захист > Захист ліктів,Захист ліктів,Екіпірування та одяг > Захист > Захист ліктів,Екіпірування та одяг > Захист > Захист ліктів,1.0,Точне співпадіння,exact
2261,Протектори стегон,2155>2257>2261,Захист > Протектори стегон,Захист > Захист стегон,Захист стегон,Екіпірування та одяг > Захист > Захист стегон,Екіпірування та одяг > Захист > Захист стегон,1.0,Точне співпадіння,exact
2260,Наколінники та ортези,2155>2257>2260,Захист > Наколінники та ортези,Захист > Наколінники / ортези,Наколінники / ортези,Екіпірування та одяг > Захист > Наколінники / ортези,Екіпірування та одяг > Захист > Наколінники / ортези,1.0,Точне співпадіння,exact
2259,Черепахи,2155>2257>2259,Захист > Черепахи,Захист > Черепахи,Черепахи,Екіпірування та одяг > Захист > Черепахи,Екіпірування та одяг > Захист > Черепахи,1.0,Точне співпадіння,exact
2258,Броні та нагрудники,2155>2257>2258,Захист > Броні та нагрудники,Захист > Броні / нагрудники,Броні / нагрудники,Екіпірування та одяг > Захист > Броні / нагрудники,Екіпірування та одяг > Захист > Броні / нагрудники,1.0,Точне співпадіння,exact
2256,Акумулятори та зарядні пристрої,2155>2227>2256,Електроніка > Акумулятори та зарядні пристрої,Електроніка > Акумулятори та зарядні пристрої,Акумулятори та зарядні пристрої,Електроніка > Акумулятори та зарядні пристрої,Електроніка > Акумулятори та зарядні пристрої,1.0,Точне співпадіння,exact
2255,Тримачі / Чехли,2155>2227>2253>2255,Електроніка > Навігації GPS > Тримачі / Чехли,GPS-навігація > Тримачі,Тримачі,Електроніка > GPS-навігація > Тримачі,Електроніка > GPS-навігація > Тримачі,1.0,Точне співпадіння,exact
2254,Навігатори,2155>2227>2253>2254,Електроніка > Навігації GPS > Навігатори,GPS-навігація > Навігатори,Навігатори,Електроніка > GPS-навігація > Навігатори,Електроніка > GPS-навігація > Навігатори,1.0,Точне співпадіння,exact
2252,Navitel,2155>2227>2246>2252,Електроніка > Камери > Navitel,Камери > Navitel,Navitel,Електроніка > Камери > Navitel,Електроніка > Камери > Navitel,1.0,Точне співпадіння,exact
2251,Аксесуари,2155>2227>2246>2249>2251,Електроніка > Камери > Midland > Аксесуари,Інтеркоми > Аксесуари,Аксесуари,Електроніка > Інтеркоми > Аксесуари,Електроніка > Інтеркоми > Аксесуари,0.5,Часткове семантичне співпадіння,semantic
2250,Камери,2155>2227>2246>2249>2250,Електроніка > Камери > Midland > Камери,Камери > Midland,Midland,Електроніка > Камери > Midland,Електроніка > Камери > Midland,1.0,Точне співпадіння,exact
2248,Аксесуари,2155>2227>2246>2247>2248,Електроніка > Камери > GoPro > Аксесуари,Камери > GoPro,GoPro,Електроніка > Камери > GoPro,Електроніка > Камери > GoPro,0.8,Часткове семантичне співпадіння,semantic
2245,Аксесуари,2155>2227>2228>2245,Електроніка > Інтеркоми > Аксесуари,Електроніка > Інтеркоми > Аксесуари,Аксесуари,Електроніка > Інтеркоми > Аксесуари,Електроніка > Інтеркоми > Аксесуари,1.0,Точное совпадение,exact
2226,Корисне в подорожі,2155>2215>2226,Аксесуари > Корисне в подорожі,Аксесуари для мотоцикліста > Корисне в подорожі,Корисне в подорожі,Аксесуари для мотоцикліста > Корисне в подорожі,Аксесуари для мотоцикліста > Корисне в подорожі,1.0,Точное совпадение,exact
2224,Заглушки/Вкладиші для вух,2155>2215>2224,Аксесуари > Заглушки/Вкладиші для вух,Аксесуари для мотоцикліста > Заглушки для вух,Заглушки для вух,Аксесуари для мотоцикліста > Заглушки для вух,Аксесуари для мотоцикліста > Заглушки для вух,0.9,Смысловое совпадение с незначительными различиями в формулировке,semantic
2223,Сумки на пояс,2155>2215>2223,Аксесуари > Сумки на пояс,Аксесуари для мотоцикліста > Рюкзаки і сумки > Сумки на пояс,Сумки на пояс,Аксесуари для мотоцикліста > Рюкзаки і сумки > Сумки на пояс,Аксесуари для мотоцикліста > Рюкзаки і сумки > Сумки на пояс,1.0,Точное совпадение,exact
2222,Рюкзаки,2155>2215>2222,Аксесуари > Рюкзаки,Багаж > Рюкзаки,Рюкзаки,Багаж > Рюкзаки,Багаж > Рюкзаки,1.0,Точное совпадение,exact
2221,Наплічники (лямки),2155>2215>2221,Аксесуари > Наплічники (лямки),Аксесуари для мотоцикліста > Рюкзаки і сумки > Наплічники,Наплічники,Аксесуари для мотоцикліста > Рюкзаки і сумки > Наплічники,Аксесуари для мотоцикліста > Рюкзаки і сумки > Наплічники,1.0,Точное совпадение,exact
2220,Чищення / Догляд,2155>2215>2220,Аксесуари > Чищення / Догляд,Аксесуари для мотоцикліста > Догляд та чищення,Догляд та чищення,Аксесуари для мотоцикліста > Догляд та чищення,Аксесуари для мотоцикліста > Догляд та чищення,1.0,Точное совпадение,exact
