input_id,input_name,input_path,input_full_path,match_id,match_name,match_path,match_full_path,confidence,reasoning,method
1317,Велосипедні багажники,,Велосипедні аксесуари > Аксесуари > Велосипедні багажники,40505,Багажники велосипедні,,Велосипеди > Аксесуари велосипедні > Багажники велосипедні,1.0,Точное семантическое совпадение категории багажников для велосипедов,exact
1316,Фляги,,Велосипедні аксесуари > Аксесуари > Велосипедні фляги та кошики > Фляги,40508,Пляшки та тримачі,,Велосипеди > Аксесуари велосипедні > Пляшки та тримачі,0.9,Семантическое совпадение с категорией бутылок и держателей,semantic
1315,Кошики для пляшки,,Велосипедні аксесуари > Аксесуари > Велосипедні фляги та кошики > Кошики для пляшки,40508,Пляшки та тримачі,,Велосипеди > Аксесуари велосипедні > Пляшки та тримачі,1.0,Точное совпадение с категорией держателей для бутылок,exact
1318,Велосипедні бризковики,,Велосипедні аксесуари > Аксесуари > Велосипедні бризковики,40506,Бризковики,,Велосипеди > Аксесуари велосипедні > Бризковики,1.0,Точное семантическое совпадение категории бризговиков,exact
1353,Кермо велосипедне,,Велосипедні аксесуари > Аксесуари > Кермо велосипедне,40405,Кермо та виноси,,Велосипеди > Частини велосипеда > Кермо та виноси,1.0,Точное семантическое совпадение категории руля,exact
1324,Велосипедні передні ліхтарі,,Велосипедні аксесуари > Аксесуари > Велосипедні ліхтарі > Велосипедні передні ліхтарі,4050201,Передні ліхтарі,,Велосипеди > Аксесуари велосипедні > Освітлення велосипедне > Передні ліхтарі,1.0,Точное семантическое совпадение категории передних фонарей,exact
1323,Велосипедні задні ліхтарі,,Велосипедні аксесуари > Аксесуари > Велосипедні ліхтарі > Велосипедні задні ліхтарі,4050202,Задні ліхтарі,,Велосипеди > Аксесуари велосипедні > Освітлення велосипедне > Задні ліхтарі,1.0,Точное семантическое совпадение категории задних фонарей,exact
1325,Велосипедні Ліхтарі Комплекти,,Велосипедні аксесуари > Аксесуари > Велосипедні ліхтарі > Велосипедні Ліхтарі Комплекти,4050203,Комплекти освітлення,,Велосипеди > Аксесуари велосипедні > Освітлення велосипедне > Комплекти освітлення,1.0,Точное семантическое совпадение категории комплектов освещения,exact
1326,Велосипедні лічильники,,Велосипедні аксесуари > Аксесуари > Велосипедні лічильники,40509,Велокомп'ютери,,Велосипеди > Аксесуари велосипедні > Велокомп'ютери,0.9,Семантическое совпадение с категорией велокомпьютеров,semantic
1329,Чищення Велосипеда,,Велосипедні аксесуари > Аксесуари > Інструменти і Сервіс > Чищення Велосипеда,4051002,Очищення велосипеда,,Велосипеди > Аксесуари велосипедні > Інструменти та сервіс > Очищення велосипеда,1.0,Точное семантическое совпадение категории очистки велосипеда,exact
1331,Ключі та інструменти,,Велосипедні аксесуари > Аксесуари > Інструменти і Сервіс > Ключі та інструменти,4051001,Ключі та інструменти,,Велосипеди > Аксесуари велосипедні > Інструменти та сервіс > Ключі та інструменти,1.0,Точное семантическое совпадение категории ключей и инструментов,exact
1330,Мастила для велосипедів,,Велосипедні аксесуари > Аксесуари > Інструменти і Сервіс > Мастила для велосипедів,4051003,Мастила велосипедні,,Велосипеди > Аксесуари велосипедні > Інструменти та сервіс > Мастила велосипедні,1.0,Точное семантическое совпадение категории велосипедных смазок,exact
1336,Окуляри Фотохромні,,Велосипедні аксесуари > Аксесуари > Велосипедні окуляри > Окуляри Фотохромні,40606,Велоокуляри,,Велосипеди > Велоодяг та взуття > Велоокуляри,0.9,Точне семантичне співпадіння для велосипедних окулярів,semantic
1335,Поляризаційні окуляри,,Велосипедні аксесуари > Аксесуари > Велосипедні окуляри > Поляризаційні окуляри,40606,Велоокуляри,,Велосипеди > Велоодяг та взуття > Велоокуляри,0.9,Точне семантичне співпадіння для велосипедних окулярів,semantic
1355,Світловідбивні браслети,,Велосипедні аксесуари > Аксесуари > Світловідбивні браслети,40607,Велозахист,,Велосипеди > Велоодяг та взуття > Велозахист,0.7,Часткове семантичне співпадіння як елемент захисту,semantic
1337,Захисні елементи,,Велосипедні аксесуари > Аксесуари > Захисні елементи,40607,Велозахист,,Велосипеди > Велоодяг та взуття > Велозахист,0.9,Точне семантичне співпадіння для захисних елементів,semantic
1357,Чохли На Шолом,,Велосипедні аксесуари > Аксесуари > Чохли На Шолом,40501,Велошоломи,,Велосипеди > Аксесуари велосипедні > Велошоломи,0.7,Часткове семантичне співпадіння з категорією шоломів,semantic
1339,Насоси Велосипедні,,Велосипедні аксесуари > Аксесуари > Насоси Велосипедні,40507,Насоси велосипедні,,Велосипеди > Аксесуари велосипедні > Насоси велосипедні,1.0,Точне семантичне співпадіння,exact
1342,"Сідельні сумки, Сумки і Рюкзаки",,"Велосипедні аксесуари > Аксесуари > Сідельні сумки, Сумки і Рюкзаки",40504,Сумки та рюкзаки,,Велосипеди > Аксесуари велосипедні > Сумки та рюкзаки,0.9,Точне семантичне співпадіння для сумок та рюкзаків,semantic
1346,Тримачі для чашок,,Велосипедні аксесуари > Аксесуари > Велосипедні тримачі > Тримачі для чашок,40508,Пляшки та тримачі,,Велосипеди > Аксесуари велосипедні > Пляшки та тримачі,0.8,Семантичне співпадіння для тримачів пляшок/чашок,semantic
1345,Тримачі на лічильник,,Велосипедні аксесуари > Аксесуари > Велосипедні тримачі > Тримачі на лічильник,40509,Велокомп'ютери,,Велосипеди > Аксесуари велосипедні > Велокомп'ютери,0.7,Часткове семантичне співпадіння з категорією комп'ютерів,semantic
1349,Блокада Складана,,Велосипедні аксесуари > Аксесуари > Велосипедні кріплення > Блокада Складана,4050301,U-подібні замки,,Велосипеди > Аксесуари велосипедні > Замки велосипедні > U-подібні замки,0.8,Семантичне співпадіння з категорією замків,semantic
1351,Ланцюги,,Велосипедні аксесуари > Аксесуари > Велосипедні кріплення > Ланцюги,4050302,Ланцюгові замки,,Велосипеди > Аксесуари велосипедні > Замки велосипедні > Ланцюгові замки,0.8,Семантичне співпадіння з категорією ланцюгових замків,semantic
1350,Замки U-подібні,,Велосипедні аксесуари > Аксесуари > Велосипедні кріплення > Замки U-подібні,4050301,U-подібні замки,,Велосипеди > Аксесуари велосипедні > Замки велосипедні > U-подібні замки,1.0,Точне семантичне співпадіння,exact
1312,Велосипедні шоломи,,Велосипедні аксесуари > Велосипедні шоломи,40501,Велошоломи,,Велосипеди > Аксесуари велосипедні > Велошоломи,1.0,Точне семантичне співпадіння,exact
1370,Взуття для гірських велосипедів,,Велосипедні аксесуари > Взуття для велосипеда > Взуття для гірських велосипедів,4060801,Взуття MTB,,Велосипеди > Велоодяг та взуття > Велозвуття > Взуття MTB,1.0,Точне семантичне співпадіння,exact
1369,Взуття шосейне,,Велосипедні аксесуари > Взуття для велосипеда > Взуття шосейне,4060802,Взуття шосейне,,Велосипеди > Велоодяг та взуття > Велозвуття > Взуття шосейне,1.0,Точне семантичне співпадіння,exact
