input_id,input_name,input_path,input_full_path,match_id,match_name,match_path,match_full_path,confidence,reasoning,method
2093,Сигналізації,,Аксесуари > Сигналізації,12061,Вимикачі та реле,,Автомобільні аксесуари та частини > Електрика та електроніка > Вимикачі та реле,0.7,Часткове семантичне співпадіння в електронних аксесуарах,semantic
2094,Брелоки,,Аксесуари > Брелоки,12016,Ручки і тримачі,,Автомобільні аксесуари та частини > Інтер'єр > Ручки і тримачі,0.6,Часткове семантичне співпадіння в аксесуарах,semantic
2095,Чищення маточин,,Аксесуари > Чищення маточин,10011,Миючі засоби,,Хімія та мастила > Засоби догляду > Миючі засоби,0.8,Пов'язано з чищенням та доглядом,semantic
2098,Кришки клапанів,,Аксесуари > Кришки клапанів,12031,Радіатори,,Автомобільні аксесуари та частини > Система охолодження > Радіатори,0.5,Часткове семантичне співпадіння в автомобільних частинах,semantic
2099,Рамки таблиць реєстр,,Аксесуари > Рамки таблиць реєстр,12008,Запонки та гвинтики,,Автомобільні аксесуари та частини > Кузов та екстер'єр > Запонки та гвинтики,0.6,Часткове семантичне співпадіння в автомобільних аксесуарах,semantic
2100,Сітки багажні,,Аксесуари > Сітки багажні,12005,Кришки багажника та ролети,,Автомобільні аксесуари та частини > Кузов та екстер'єр > Кришки багажника та ролети,0.7,Пов'язано з багажником та аксесуарами,semantic
2101,Світловідбивальні стрічки на диски,,Аксесуари > Світловідбивальні стрічки на диски,12056,Кріплення освітлення,,Автомобільні аксесуари та частини > Освітлення автомобільне > Кріплення освітлення,0.6,Часткове семантичне співпадіння в освітленні,semantic
2065,"Акумулятори, зарядні пристрої",,"Акумулятори, зарядні пристрої",9021,Акумулятори,,Електроніка та комунікації > Акумулятори та живлення > Акумулятори,0.9,Точне семантичне співпадіння в категорії акумуляторів,semantic
2066,Запобіжники,,Запобіжники,8002,Електрика,,Квадроцикли та UTV > Частини квадроцикла > Електрика,0.7,"Електричні компоненти, пов'язані з електросистемою",semantic
2062,Деталі ATV,,Деталі ATV,8001,Двигун та трансмісія,,Квадроцикли та UTV > Частини квадроцикла > Двигун та трансмісія,0.8,Загальні деталі для квадроциклів,general
2102,Електрика | Освітлення,,Деталі JAWA 50 > Електрика | Освітлення,2002,Електрика та освітлення,,Мотоциклетні аксесуари та частини > Частини мотоцикла > Електрика та освітлення,0.9,Точне співпадіння електричних компонентів для мотоциклів,exact
2105,Кузов | Підвіска | Рама,,Деталі JAWA 50 > Кузов | Підвіска | Рама,8004,Підвіска,,Квадроцикли та UTV > Частини квадроцикла > Підвіска,0.6,Частково відповідає підвісці та структурним елементам,semantic
2106,Наклейки,,Деталі JAWA 50 > Наклейки,8024,Графіка та наклейки,,Квадроцикли та UTV > Аксесуари для квадроциклів > Графіка та наклейки,0.8,Точне співпадіння категорії наклейок,exact
2107,Двигун,,Деталі JAWA 50 > Двигун,8001,Двигун та трансмісія,,Квадроцикли та UTV > Частини квадроцикла > Двигун та трансмісія,0.7,Компоненти двигуна для транспортних засобів,semantic
2109,Електрика та Освітлення,,"Частини MZ ETZ, TS, ES > Електрика та Освітлення",2002,Електрика та освітлення,,Мотоциклетні аксесуари та частини > Частини мотоцикла > Електрика та освітлення,0.9,Точне співпадіння електричних компонентів для мотоциклів,exact
2110,Карбюратор,,"Частини MZ ETZ, TS, ES > Карбюратор",2001,Частини двигуна,,Мотоциклетні аксесуари та частини > Частини мотоцикла > Частини двигуна,0.9,Карбюратор є частиною двигуна мотоцикла,semantic
2112,"Надбудова
Підвіска
Рама",,"Частини MZ ETZ, TS, ES > Надбудова
Підвіска
Рама",5001,Амортизатори,,Підвіска та трансмісія > Система підвіски > Амортизатори,0.7,Частково відповідає категорії підвіски,semantic
2114,Двигун,,"Частини MZ ETZ, TS, ES > Двигун",2001,Частини двигуна,,Мотоциклетні аксесуари та частини > Частини мотоцикла > Частини двигуна,1.0,Точне семантичне співпадіння для категорії двигуна,exact
