input_id,input_name,input_path,input_full_path,match_id,match_name,match_path,match_full_path,confidence,reasoning,method
1541,лінійка деревина,,Освітлення | LED лампи > лінійка деревина,30605,Кріплення освітлення,,Автомобілі 4х4 > Освітлення LED > Кріплення освітлення,0.7,Часткове семантичне співпадіння щодо кріплення освітлення,semantic
1537,Попереджувальні балки для спеціальних транспортних засобів,,Освітлення | LED лампи > Попереджувальні балки для спеціальних транспортних засобів,30601,LED панелі Light Bar,,Автомобілі 4х4 > Освітлення LED > LED панелі Light Bar,0.9,Точне семантичне співпадіння щодо LED панелей,semantic
1536,Покажчики повороту і підсвітка панелі приладів,,Освітлення | LED лампи > Покажчики повороту і підсвітка панелі приладів,30303,Пороги та підніжки,,Автомобілі 4х4 > Кузовні елементи та захист > Пороги та підніжки,0.3,Немає точної відповідності,unmatched
1532,Світлодіодні лампи - малі і вбудовані,,Освітлення | LED лампи > Світлодіодні лампи - малі і вбудовані,30604,Малі LED фари,,Автомобілі 4х4 > Освітлення LED > Малі LED фари,0.9,Точне семантичне співпадіння щодо малих LED фар,semantic
1530,Світлодіодні лампи - Круглі,,Освітлення | LED лампи > Світлодіодні лампи - Круглі,30602,Круглі LED фари,,Автомобілі 4х4 > Освітлення LED > Круглі LED фари,1.0,Точне співпадіння,exact
1540,Лампи для майстерень,,Освітлення | LED лампи > Лампи для майстерень,50301,Ліхтарі та налобники,,Туризм та кемпінг > Туристичне спорядження > Ліхтарі та налобники,0.6,Часткове семантичне співпадіння щодо освітлення,semantic
1542,Налобні ліхтарі,,Освітлення | LED лампи > Налобні ліхтарі,50301,Ліхтарі та налобники,,Туризм та кемпінг > Туристичне спорядження > Ліхтарі та налобники,1.0,Точне співпадіння,exact
1538,Освітлення інтер'єру,,Освітлення | LED лампи > Освітлення інтер'єру,30606,Вимикачі та проводка,,Автомобілі 4х4 > Освітлення LED > Вимикачі та проводка,0.5,Часткове семантичне співпадіння,semantic
1547,Освітлення для кемпінгу / табору,,Освітлення | LED лампи > Освітлення для кемпінгу / табору,50301,Ліхтарі та налобники,,Туризм та кемпінг > Туристичне спорядження > Ліхтарі та налобники,0.8,Семантичне співпадіння щодо туристичного освітлення,semantic
1529,Світлодіодні панелі світильник-лінійка,,Освітлення | LED лампи > Світлодіодні панелі світильник-лінійка,30601,LED панелі Light Bar,,Автомобілі 4х4 > Освітлення LED > LED панелі Light Bar,0.9,Точне семантичне співпадіння щодо LED панелей,semantic
1531,Світлодіодні фари та основні лампи,,Освітлення | LED лампи > Світлодіодні фари та основні лампи,30603,LED прожектори,,Автомобілі 4х4 > Освітлення LED > LED прожектори,0.8,Семантичне співпадіння щодо LED освітлення,semantic
1548,Задні ліхтарі,,Освітлення | LED лампи > Задні ліхтарі,30607,Задні ліхтарі,,Автомобілі 4х4 > Освітлення LED > Задні ліхтарі,1.0,Точне співпадіння,exact
1534,Кріплення для освітлення,,Освітлення | LED лампи > Кріплення для освітлення,30605,Кріплення освітлення,,Автомобілі 4х4 > Освітлення LED > Кріплення освітлення,1.0,Точне співпадіння,exact
1533,Вмикачі кабелі реле аксесуари,,Освітлення | LED лампи > Вмикачі кабелі реле аксесуари,30606,Вимикачі та проводка,,Автомобілі 4х4 > Освітлення LED > Вимикачі та проводка,1.0,Точне співпадіння,exact
1539,Звукові сигнали,,Освітлення | LED лампи > Звукові сигнали,Не знайдено,Не найдено,,Не найдено,0.2,Немає відповідної категорії,unmatched
1535,Автомобільні лампочки,,Освітлення | LED лампи > Автомобільні лампочки,Не знайдено,Не найдено,,Не найдено,0.3,Немає точної відповідності,unmatched
1728,Набори світлодіодних ламп для автомобілів,,Освітлення | LED лампи > Набори світлодіодних ламп для автомобілів,Не знайдено,Не найдено,,Не найдено,0.3,Немає точної відповідності,unmatched
