input_id,input_name,input_path,input_full_path,match_id,match_name,match_path,match_full_path,confidence,reasoning,method
2269,Накладки на зап’ястя і щиколотки,2155>2257>2269,Захист > Накладки на зап’ястя і щиколотки,Екіпірування та одяг > Захист > Захист зап'ясть,Захист зап'ясть,Екіпірування та одяг > Захист > Захист зап'ясть,Екіпірування та одяг > Захист > Захист зап'ясть,0.9,Точное семантическое совпадение по защите запястий,semantic
2268,Захист спини,2155>2257>2268,Захист > Захист спини,Екіпірування та одяг > Захист > Захист спини,Захист спини,Екіпірування та одяг > Захист > Захист спини,Екіпірування та одяг > Захист > Захист спини,1.0,Точное совпадение,exact
2267,Захисники грудної клітки,2155>2257>2267,Захист > Захисники грудної клітки,Екіпірування та одяг > Захист > Захист грудної клітки,Захист грудної клітки,Екіпірування та одяг > Захист > Захист грудної клітки,Екіпірування та одяг > Захист > Захист грудної клітки,1.0,Точное совпадение,exact
2266,Слайдери,2155>2257>2266,Захист > Слайдери,Екіпірування та одяг > Захист > Слайдери,Слайдери,Екіпірування та одяг > Захист > Слайдери,Екіпірування та одяг > Захист > Слайдери,1.0,Точное совпадение,exact
2265,Стабілізатори шиї,2155>2257>2265,Захист > Стабілізатори шиї,Екіпірування та одяг > Захист > Стабілізатори шиї,Стабілізатори шиї,Екіпірування та одяг > Захист > Стабілізатори шиї,Екіпірування та одяг > Захист > Стабілізатори шиї,1.0,Точное совпадение,exact
2264,Змінні протектори,2155>2257>2264,Захист > Змінні протектори,Екіпірування та одяг > Захист > Змінні протектори,Змінні протектори,Екіпірування та одяг > Захист > Змінні протектори,Екіпірування та одяг > Захист > Змінні протектори,1.0,Точное совпадение,exact
2263,Протектори плечей,2155>2257>2263,Захист > Протектори плечей,Екіпірування та одяг > Захист > Захист плечей,Захист плечей,Екіпірування та одяг > Захист > Захист плечей,Екіпірування та одяг > Захист > Захист плечей,1.0,Точное совпадение,exact
2262,Накладки на лікті,2155>2257>2262,Захист > Накладки на лікті,Екіпірування та одяг > Захист > Захист ліктів,Захист ліктів,Екіпірування та одяг > Захист > Захист ліктів,Екіпірування та одяг > Захист > Захист ліктів,1.0,Точное совпадение,exact
2261,Протектори стегон,2155>2257>2261,Захист > Протектори стегон,Екіпірування та одяг > Захист > Захист стегон,Захист стегон,Екіпірування та одяг > Захист > Захист стегон,Екіпірування та одяг > Захист > Захист стегон,1.0,Точное совпадение,exact
2260,Наколінники та ортези,2155>2257>2260,Захист > Наколінники та ортези,Екіпірування та одяг > Захист > Наколінники / ортези,Наколінники / ортези,Екіпірування та одяг > Захист > Наколінники / ортези,Екіпірування та одяг > Захист > Наколінники / ортези,1.0,Точное совпадение,exact
